;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
3530;250;0;0;0;0;0;2;0;1;1;1;1;6;0;0.69;0.55;2
3531;fairly;1;0;0;1;1;0;0;2;1;0;0;6;0;0.69;0.55;2
3532;motion;0;0;0;0;0;0;2;0;4;0;0;6;0;1.29;0.55;4
3533;fty720;0;0;0;0;0;0;6;0;0;0;0;6;0;1.81;0.55;6
3534;worry;0;0;1;0;1;0;0;0;1;3;0;6;0;0.93;0.55;3
3535;mistaken;0;0;3;0;0;0;1;2;0;0;0;6;0;1.04;0.55;3
3536;defensible;1;0;0;1;0;1;1;0;1;0;1;6;0;0.52;0.55;1
3537;pr;0;0;0;3;0;0;0;0;0;0;3;6;0;1.21;0.55;3
3538;pds;6;0;0;0;0;0;0;0;0;0;0;6;0;1.81;0.55;6
3539;t0;0;0;0;0;0;0;0;5;0;0;1;6;0;1.51;0.55;5
3540;pure;0;0;2;0;0;0;1;1;1;1;0;6;0;0.69;0.55;2
3541;concomitant;2;0;1;0;0;0;0;0;1;2;0;6;0;0.82;0.55;2
3542;compound;0;0;1;0;1;0;0;3;0;1;0;6;0;0.93;0.55;3
3543;vasculopathy;0;0;1;2;1;0;0;0;2;0;0;6;0;0.82;0.55;2
3544;twice;0;0;0;1;0;0;2;2;1;0;0;6;0;0.82;0.55;2
3545;3-month;0;3;1;0;0;0;0;0;0;1;1;6;0;0.93;0.55;3
3546;pmp;0;0;2;4;0;0;0;0;0;0;0;6;0;1.29;0.55;4
3547;conceive;1;0;0;0;0;1;0;0;3;0;1;6;0;0.93;0.55;3
3548;investment;0;0;1;0;1;0;0;2;0;2;0;6;0;0.82;0.55;2
3549;steadily;0;0;1;0;1;0;0;0;0;1;3;6;0;0.93;0.55;3
3550;ancestry;0;0;0;0;0;0;1;1;0;2;2;6;0;0.82;0.55;2
3551;remarkable;0;0;1;0;1;2;0;0;1;0;1;6;0;0.69;0.55;2
3552;mrs;0;0;0;0;0;0;0;0;6;0;0;6;0;1.81;0.55;6
3553;multinational;0;0;3;0;0;3;0;0;0;0;0;6;0;1.21;0.55;3
3554;empirically;0;0;1;1;0;2;1;1;0;0;0;6;0;0.69;0.55;2
3555;ott;0;0;0;0;0;0;6;0;0;0;0;6;0;1.81;0.55;6
3556;exact;1;0;0;0;0;1;0;1;2;1;0;6;0;0.69;0.55;2
3557;tuberculosis;0;0;0;0;0;5;1;0;0;0;0;6;0;1.51;0.55;5
3558;bdd;0;0;3;0;0;0;0;0;3;0;0;6;0;1.21;0.55;3
3559;89;0;2;0;0;0;0;2;0;1;0;1;6;0;0.82;0.55;2
3560;sensitize;0;0;0;0;0;2;0;1;2;1;0;6;0;0.82;0.55;2
3561;quest;0;2;0;0;2;0;1;0;1;0;0;6;0;0.82;0.55;2
3562;2.1;0;0;0;0;0;3;0;0;1;1;1;6;0;0.93;0.55;3
3563;house;0;1;3;0;0;0;0;1;1;0;0;6;0;0.93;0.55;3
3564;desensitization;0;0;1;1;0;0;0;0;4;0;0;6;0;1.21;0.55;4
3565;cloning;0;0;0;0;0;3;3;0;0;0;0;6;0;1.21;0.55;3
3566;/=10;0;0;0;0;0;0;0;0;4;1;1;6;0;1.21;0.55;4
3567;convince;0;0;1;0;0;0;2;0;0;0;3;6;0;1.04;0.55;3
3568;fatality;0;0;6;0;0;0;0;0;0;0;0;6;0;1.81;0.55;6
3569;fiqh;0;0;2;1;0;0;0;0;0;0;3;6;0;1.04;0.55;3
3570;austria;0;0;1;0;0;1;0;0;1;1;2;6;0;0.69;0.55;2
3571;disadvantaged;0;1;0;0;0;0;0;0;2;0;3;6;0;1.04;0.55;3
3572;subset;0;2;0;0;1;0;0;0;2;1;0;6;0;0.82;0.55;2
3573;hrv;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3574;assay;0;2;0;0;0;1;1;0;0;1;1;6;0;0.69;0.55;2
3575;selective;1;1;0;0;1;0;2;0;0;1;0;6;0;0.69;0.55;2
3576;ecg;0;0;0;0;0;0;0;2;4;0;0;6;0;1.29;0.55;4
3577;renew;3;0;0;1;1;0;0;1;0;0;0;6;0;0.93;0.55;3
3578;registered;0;0;1;0;0;1;1;0;0;1;2;6;0;0.69;0.55;2
3579;tb;0;0;0;0;0;6;0;0;0;0;0;6;0;1.81;0.55;6
3580;compulsory;0;0;1;0;0;0;2;1;2;0;0;6;0;0.82;0.55;2
3581;nationality;0;0;2;1;1;0;1;0;0;0;1;6;0;0.69;0.55;2
3582;broaden;1;0;0;0;0;1;0;1;2;1;0;6;0;0.69;0.55;2
3583;incur;0;0;1;0;0;1;0;1;1;2;0;6;0;0.69;0.55;2
3584;desflurane;0;0;6;0;0;0;0;0;0;0;0;6;0;1.81;0.55;6
3585;semrau;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3586;extra;0;1;1;0;0;0;0;0;1;3;0;6;0;0.93;0.55;3
3587;interprofessional;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3588;1000;0;0;1;2;0;0;0;2;1;0;0;6;0;0.82;0.55;2
3589;judaism;2;0;0;0;0;2;0;2;0;0;0;6;0;0.93;0.55;2
3590;inductive;1;0;1;0;0;0;0;0;1;3;0;6;0;0.93;0.55;3
3591;pave;0;0;1;0;1;0;1;1;0;1;1;6;0;0.52;0.55;1
3592;teach;2;0;1;1;0;0;1;0;0;1;0;6;0;0.69;0.55;2
3593;mexico;0;2;0;1;3;0;0;0;0;0;0;6;0;1.04;0.55;3
3594;side;0;0;0;0;0;0;0;0;1;5;0;6;0;1.51;0.55;5
3595;shortfall;2;0;0;1;0;0;1;1;0;1;0;6;0;0.69;0.55;2
3596;incompetent;0;0;0;1;5;0;0;0;0;0;0;6;0;1.51;0.55;5
3597;1960;1;0;1;0;0;1;0;1;1;0;1;6;0;0.52;0.55;1
3598;melanoma;0;0;0;0;0;0;5;0;0;0;1;6;0;1.51;0.55;5
3599;defense;2;0;1;1;0;0;0;0;1;0;1;6;0;0.69;0.55;2
3600;hospitalize;0;0;3;1;2;0;0;0;0;0;0;6;0;1.04;0.55;3
3601;whilst;0;0;2;1;0;0;3;0;0;0;0;6;0;1.04;0.55;3
3602;hydration;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3603;logic;1;0;0;1;2;0;0;0;2;0;0;6;0;0.82;0.55;2
3604;decease;0;1;0;0;1;1;0;2;0;1;0;6;0;0.69;0.55;2
3605;foreigner;1;0;0;3;0;0;0;0;0;2;0;6;0;1.04;0.55;3
3606;ownership;1;0;0;0;3;0;2;0;0;0;0;6;0;1.04;0.55;3
3607;haematopoietic;0;0;0;1;0;3;0;0;2;0;0;6;0;1.04;0.55;3
3608;precisely;2;0;0;0;1;0;0;0;1;2;0;6;0;0.82;0.55;2
3609;intense;0;1;0;0;1;1;0;1;0;1;1;6;0;0.52;0.55;1
3610;initiation;0;0;0;0;0;1;2;0;0;2;1;6;0;0.82;0.55;2
3611;statute;1;0;0;2;0;0;2;0;1;0;0;6;0;0.82;0.55;2
3612;urgently;0;0;1;0;0;2;0;1;0;2;0;6;0;0.82;0.55;2
3613;dimensional;0;0;0;0;0;1;0;2;1;0;2;6;0;0.82;0.55;2
3614;cntrp;0;0;0;0;0;0;0;0;6;0;0;6;0;1.81;0.55;6
3615;unwilling;1;0;0;0;0;1;0;0;4;0;0;6;0;1.21;0.55;4
3616;neutral;0;0;0;0;0;3;0;0;1;2;0;6;0;1.04;0.55;3
3617;confucian;1;0;0;0;0;0;0;0;0;5;0;6;0;1.51;0.55;5
3618;wound;0;0;1;0;1;0;0;0;0;4;0;6;0;1.21;0.55;4
3619;excuse;5;0;0;0;1;0;0;0;0;0;0;6;0;1.51;0.55;5
3620;pe;0;0;0;0;0;0;0;0;6;0;0;6;0;1.81;0.55;6
3621;mdsc;0;0;0;0;0;0;0;6;0;0;0;6;0;1.81;0.55;6
3622;max;0;0;0;4;0;0;0;0;0;2;0;6;0;1.29;0.55;4
3623;clt;0;0;0;0;0;0;0;0;0;0;6;6;0;1.81;0.55;6
3624;hypothesize;1;0;0;1;1;0;1;1;1;0;0;6;0;0.52;0.55;1
3625;quickly;0;0;0;1;1;2;1;0;1;0;0;6;0;0.69;0.55;2
3626;miller;0;0;0;1;1;1;0;0;3;0;0;6;0;0.93;0.55;3
3627;fhf;0;0;2;0;4;0;0;0;0;0;0;6;0;1.29;0.55;4
3628;1996;0;1;0;0;1;1;2;0;1;0;0;6;0;0.69;0.55;2
3629;148;0;0;0;1;0;1;1;0;0;0;2;5;0;0.69;0.45;2
3630;alike;0;0;1;0;1;0;2;0;0;1;0;5;0;0.69;0.45;2
3631;underscore;0;0;0;0;0;1;2;1;1;0;0;5;0;0.69;0.45;2
3632;aorta;0;0;0;0;1;0;0;0;0;0;4;5;0;1.21;0.45;4
3633;poster;0;0;0;0;0;0;0;0;4;0;1;5;0;1.21;0.45;4
3634;ric;0;0;0;0;0;5;0;0;0;0;0;5;0;1.51;0.45;5
3635;sham;0;0;0;0;0;1;0;0;0;0;4;5;0;1.21;0.45;4
3636;pursuit;0;0;0;0;0;0;0;3;0;1;1;5;0;0.93;0.45;3
3637;existing;0;0;0;0;0;1;0;1;0;3;0;5;0;0.93;0.45;3
3638;conditioning;0;1;0;0;1;3;0;0;0;0;0;5;0;0.93;0.45;3
3639;chloride;0;0;0;0;5;0;0;0;0;0;0;5;0;1.51;0.45;5
3640;id&r;0;0;0;0;0;0;0;0;0;5;0;5;0;1.51;0.45;5
3641;vegetative;0;0;1;0;0;0;1;2;1;0;0;5;0;0.69;0.45;2
3642;bmncs;0;0;0;0;0;0;0;5;0;0;0;5;0;1.51;0.45;5
3643;cdi;0;0;0;0;0;0;5;0;0;0;0;5;0;1.51;0.45;5
3644;press;0;0;0;0;1;1;0;1;0;2;0;5;0;0.69;0.45;2
3645;cytomegalovirus;0;1;0;0;1;0;0;1;0;2;0;5;0;0.69;0.45;2
3646;attributable;0;2;0;0;0;0;1;0;1;0;1;5;0;0.69;0.45;2
3647;exceptional;0;0;2;0;1;0;0;0;1;1;0;5;0;0.69;0.45;2
3648;teamwork;0;1;0;1;0;0;0;1;1;0;1;5;0;0.52;0.45;1
3649;papworth;0;0;0;0;0;0;0;0;5;0;0;5;0;1.51;0.45;5
3650;ah;0;0;0;0;0;0;0;5;0;0;0;5;0;1.51;0.45;5
3651;ddlt;0;0;1;0;0;2;0;0;2;0;0;5;0;0.82;0.45;2
3652;mail;0;0;1;0;1;1;1;1;0;0;0;5;0;0.52;0.45;1
3653;vasopressor;0;0;0;0;1;0;0;0;0;2;2;5;0;0.82;0.45;2
3654;plwh;0;0;0;0;0;0;0;0;5;0;0;5;0;1.51;0.45;5
3655;preexist;0;0;0;1;1;0;1;1;0;1;0;5;0;0.52;0.45;1
3656;adi;0;0;0;0;0;0;5;0;0;0;0;5;0;1.51;0.45;5
3657;costly;0;0;1;0;0;0;1;1;2;0;0;5;0;0.69;0.45;2
3658;ce;0;0;0;0;0;1;0;0;1;0;3;5;0;0.93;0.45;3
3659;conceptualize;0;0;0;0;0;0;2;2;0;1;0;5;0;0.82;0.45;2
3660;mauss;0;0;0;0;0;0;5;0;0;0;0;5;0;1.51;0.45;5
3661;47.1;0;0;0;0;0;0;3;0;0;2;0;5;0;1.04;0.45;3
3662;realise;0;0;0;0;0;0;0;1;1;3;0;5;0;0.93;0.45;3
3663;genomic;0;0;0;0;0;0;1;3;1;0;0;5;0;0.93;0.45;3
3664;morocco;0;0;0;0;0;0;0;0;5;0;0;5;0;1.51;0.45;5
3665;longer;0;0;0;0;0;1;2;0;0;1;1;5;0;0.69;0.45;2
3666;korean;0;0;0;4;1;0;0;0;0;0;0;5;0;1.21;0.45;4
3667;correct;0;0;0;0;1;1;0;1;1;0;1;5;0;0.52;0.45;1
3668;abo;0;1;1;0;2;0;0;0;1;0;0;5;0;0.69;0.45;2
3669;best;0;0;1;1;0;2;1;0;0;0;0;5;0;0.69;0.45;2
3670;egalitarianism;0;0;0;0;0;0;4;1;0;0;0;5;0;1.21;0.45;4
3671;edition;0;0;0;0;3;0;0;0;0;2;0;5;0;1.04;0.45;3
3672;pacemaker;0;0;0;0;0;0;5;0;0;0;0;5;0;1.51;0.45;5
3673;dystrophy;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
3674;ra;0;0;0;0;0;0;0;0;0;5;0;5;0;1.51;0.45;5
3675;bis;0;5;0;0;0;0;0;0;0;0;0;5;0;1.51;0.45;5
3676;coherence;0;0;0;0;2;0;0;0;0;3;0;5;0;1.04;0.45;3
3677;13.4;0;2;0;0;0;0;1;0;2;0;0;5;0;0.82;0.45;2
3678;albumin;0;0;2;1;0;1;0;0;1;0;0;5;0;0.69;0.45;2
3679;hispanics;0;0;1;0;0;0;4;0;0;0;0;5;0;1.21;0.45;4
3680;cp;0;0;0;0;0;0;0;5;0;0;0;5;0;1.51;0.45;5
3681;clothe;0;0;0;0;0;5;0;0;0;0;0;5;0;1.51;0.45;5
3682;manufacture;0;0;0;0;0;0;1;0;1;1;2;5;0;0.69;0.45;2
3683;factorial;0;0;0;0;2;1;0;0;2;0;0;5;0;0.82;0.45;2
3684;opom;0;0;0;0;0;0;0;0;0;5;0;5;0;1.51;0.45;5
3685;intact;0;0;0;0;0;0;0;0;3;1;1;5;0;0.93;0.45;3
3686;reactive;0;1;0;0;0;1;1;0;2;0;0;5;0;0.69;0.45;2
3687;branch;0;0;0;0;1;0;0;2;0;0;2;5;0;0.82;0.45;2
3688;cardiologist;0;0;0;0;0;0;1;0;0;4;0;5;0;1.21;0.45;4
3689;saturation;0;0;0;0;0;0;0;1;2;1;1;5;0;0.69;0.45;2
3690;helpful;0;0;0;0;1;1;0;0;0;3;0;5;0;0.93;0.45;3
3691;.004;0;0;0;1;1;1;0;0;1;0;1;5;0;0.52;0.45;1
3692;revolve;0;0;0;0;0;0;2;0;1;2;0;5;0;0.82;0.45;2
3693;elpat;0;1;0;1;0;2;0;0;0;0;1;5;0;0.69;0.45;2
3694;morphine;0;0;0;0;0;4;0;0;0;1;0;5;0;1.21;0.45;4
3695;acquisition;0;0;1;0;0;0;1;0;1;2;0;5;0;0.69;0.45;2
3696;axonal;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
3697;deter;0;0;0;0;1;1;1;0;1;1;0;5;0;0.52;0.45;1
3698;endure;0;0;1;0;0;1;1;1;1;0;0;5;0;0.52;0.45;1
3699;purposive;0;0;0;0;1;0;0;0;1;2;1;5;0;0.69;0.45;2
3700;permanence;0;0;0;0;0;0;1;0;2;0;2;5;0;0.82;0.45;2
3701;disparate;0;0;0;1;0;0;1;0;1;2;0;5;0;0.69;0.45;2
3702;brics;0;0;0;0;0;0;0;5;0;0;0;5;0;1.51;0.45;5
3703;continued;0;0;1;0;1;1;0;0;0;1;1;5;0;0.52;0.45;1
3704;interviewee;0;0;0;2;0;0;1;0;1;0;1;5;0;0.69;0.45;2
3705;negotiate;0;0;0;0;1;0;1;2;1;0;0;5;0;0.69;0.45;2
3706;nigeria;0;0;4;0;0;0;1;0;0;0;0;5;0;1.21;0.45;4
3707;nontransplant;0;0;0;0;0;0;0;0;4;1;0;5;0;1.21;0.45;4
3708;dp;0;0;0;0;0;4;0;1;0;0;0;5;0;1.21;0.45;4
3709;psychologist;0;0;0;0;1;3;0;0;0;1;0;5;0;0.93;0.45;3
3710;aasld;0;0;0;0;0;0;0;2;2;0;1;5;0;0.82;0.45;2
3711;kl;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
3712;adaptation;0;1;0;0;2;1;1;0;0;0;0;5;0;0.69;0.45;2
3713;precede;0;0;0;0;0;0;2;1;1;1;0;5;0;0.69;0.45;2
3714;balloon;0;0;0;0;0;0;1;0;2;0;2;5;0;0.82;0.45;2
3715;ukds;0;0;0;0;5;0;0;0;0;0;0;5;0;1.51;0.45;5
3716;mo;0;0;3;0;0;0;0;0;1;0;1;5;0;0.93;0.45;3
3717;1.3;0;0;0;0;1;0;0;0;1;3;0;5;0;0.93;0.45;3
3718;eventually;0;0;0;1;0;0;0;1;1;2;0;5;0;0.69;0.45;2
3719;slightly;0;0;1;0;0;1;0;0;3;0;0;5;0;0.93;0.45;3
3720;abolish;0;0;0;0;1;0;1;2;0;0;1;5;0;0.69;0.45;2
3721;rbf;0;0;0;0;0;0;5;0;0;0;0;5;0;1.51;0.45;5
3722;klotho;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
3723;accessible;0;0;1;1;0;0;0;1;1;0;1;5;0;0.52;0.45;1
3724;lab;0;0;0;0;0;0;0;0;3;1;1;5;0;0.93;0.45;3
3725;contradictory;0;0;0;0;2;0;0;0;0;2;1;5;0;0.82;0.45;2
3726;staining;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
3727;plausible;0;0;0;0;1;0;2;0;1;1;0;5;0;0.69;0.45;2
3728;btt;0;2;0;0;0;0;0;0;3;0;0;5;0;1.04;0.45;3
3729;tap;0;0;0;0;0;5;0;0;0;0;0;5;0;1.51;0.45;5
3730;prosthesis;0;0;0;0;0;1;1;0;3;0;0;5;0;0.93;0.45;3
3731;microarchitecture;0;0;0;0;0;5;0;0;0;0;0;5;0;1.51;0.45;5
3732;checklist;0;0;0;0;0;0;1;1;0;3;0;5;0;0.93;0.45;3
3733;fresh;0;0;0;0;0;1;0;3;0;1;0;5;0;0.93;0.45;3
3734;vre;0;0;0;0;0;0;0;0;5;0;0;5;0;1.51;0.45;5
3735;solitary;0;0;0;0;1;0;1;0;1;0;2;5;0;0.69;0.45;2
3736;tailor;0;0;0;0;0;1;0;0;1;3;0;5;0;0.93;0.45;3
3737;montreal;0;0;0;1;0;0;1;1;0;2;0;5;0;0.69;0.45;2
3738;formula;0;0;0;0;2;1;0;0;0;2;0;5;0;0.82;0.45;2
3739;confident;0;0;0;0;0;2;0;0;1;2;0;5;0;0.82;0.45;2
3740;iliac;0;0;0;0;0;0;0;3;2;0;0;5;0;1.04;0.45;3
3741;aaldlt;0;0;5;0;0;0;0;0;0;0;0;5;0;1.51;0.45;5
3742;nonhuman;0;0;0;0;1;0;0;3;0;0;1;5;0;0.93;0.45;3
3743;alibi;0;0;0;0;0;4;0;1;0;0;0;5;0;1.21;0.45;4
3744;deactivation;0;0;0;0;0;0;0;1;2;2;0;5;0;0.82;0.45;2
3745;demonstration;0;0;0;0;1;0;0;1;0;3;0;5;0;0.93;0.45;3
3746;elucidate;0;0;0;0;1;0;0;0;1;2;1;5;0;0.69;0.45;2
3747;dclkt;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
3748;originate;0;0;0;0;1;0;2;1;0;0;1;5;0;0.69;0.45;2
3749;murnaghan;0;0;0;2;2;0;0;0;0;0;1;5;0;0.82;0.45;2
3750;spectrum;0;0;1;1;0;0;0;0;3;0;0;5;0;0.93;0.45;3
3751;suspension;0;0;1;1;0;0;1;1;0;0;1;5;0;0.52;0.45;1
3752;ureter;0;0;0;3;0;0;0;0;1;1;0;5;0;0.93;0.45;3
3753;noncompliance;0;0;1;3;0;0;0;1;0;0;0;5;0;0.93;0.45;3
3754;employment;0;0;0;0;1;1;1;0;1;1;0;5;0;0.52;0.45;1
3755;histopathology;0;0;0;0;0;0;0;0;1;4;0;5;0;1.21;0.45;4
3756;residence;0;0;0;0;2;0;0;0;2;1;0;5;0;0.82;0.45;2
3757;otd;0;0;0;0;0;0;0;0;0;5;0;5;0;1.51;0.45;5
3758;texas;0;0;0;0;4;1;0;0;0;0;0;5;0;1.21;0.45;4
3759;tehran;0;0;0;1;0;1;0;1;2;0;0;5;0;0.69;0.45;2
3760;page;0;0;0;0;0;0;4;0;0;1;0;5;0;1.21;0.45;4
3761;geographically;0;0;1;0;1;0;0;1;1;0;1;5;0;0.52;0.45;1
3762;maternal;0;0;0;0;1;0;1;3;0;0;0;5;0;0.93;0.45;3
3763;nat;0;0;0;0;0;0;0;0;1;4;0;5;0;1.21;0.45;4
3764;ot;0;0;0;0;4;0;1;0;0;0;0;5;0;1.21;0.45;4
3765;corruption;0;0;0;0;3;0;1;0;0;0;1;5;0;0.93;0.45;3
3766;email;0;0;0;0;0;3;0;0;1;1;0;5;0;0.93;0.45;3
3767;esthetic;0;0;0;0;0;0;0;0;3;2;0;5;0;1.04;0.45;3
3768;counselling;0;0;0;0;4;0;0;0;0;1;0;5;0;1.21;0.45;4
3769;benevolence;0;0;3;0;1;0;0;0;0;1;0;5;0;0.93;0.45;3
3770;albeit;0;0;0;1;0;0;1;0;1;2;0;5;0;0.69;0.45;2
3771;markedly;0;0;0;0;0;0;1;0;2;1;1;5;0;0.69;0.45;2
3772;delineate;0;0;0;1;0;0;0;1;2;1;0;5;0;0.69;0.45;2
3773;cautious;0;0;0;0;0;1;1;1;1;0;1;5;0;0.52;0.45;1
3774;ice;0;0;1;0;0;0;0;0;0;0;4;5;0;1.21;0.45;4
3775;carrier;0;0;0;0;0;0;0;0;2;1;2;5;0;0.82;0.45;2
3776;ivim;0;0;0;0;0;0;5;0;0;0;0;5;0;1.51;0.45;5
3777;interested;0;0;0;0;2;0;0;0;2;1;0;5;0;0.82;0.45;2
3778;cooperation;0;0;0;1;0;0;2;1;1;0;0;5;0;0.69;0.45;2
3779;conversion;0;0;2;1;0;0;0;0;1;1;0;5;0;0.69;0.45;2
3780;ha;0;0;5;0;0;0;0;0;0;0;0;5;0;1.51;0.45;5
3781;format;0;0;0;1;0;0;4;0;0;0;0;5;0;1.21;0.45;4
3782;fsgs;0;0;0;0;0;0;0;0;5;0;0;5;0;1.51;0.45;5
3783;anniversary;0;0;0;1;0;2;1;0;1;0;0;5;0;0.69;0.45;2
3784;slow;0;1;1;0;0;0;2;1;0;0;0;5;0;0.69;0.45;2
3785;hemihepatectomy;0;0;1;0;0;0;0;4;0;0;0;5;0;1.21;0.45;4
3786;confine;0;0;0;0;0;1;0;2;0;0;2;5;0;0.82;0.45;2
3787;secular;0;0;0;0;0;0;2;1;1;1;0;5;0;0.69;0.45;2
3788;uniformity;0;0;1;0;2;0;1;1;0;0;0;5;0;0.69;0.45;2
3789;refute;0;0;0;0;0;1;1;0;0;3;0;5;0;0.93;0.45;3
3790;salvage;0;0;0;0;0;1;0;1;2;0;1;5;0;0.69;0.45;2
3791;cns;0;0;0;4;0;0;0;0;0;1;0;5;0;1.21;0.45;4
3792;substitution;0;0;0;0;2;0;0;2;1;0;0;5;0;0.82;0.45;2
3793;orientation;0;0;0;1;2;0;0;0;0;2;0;5;0;0.82;0.45;2
3794;effector;0;0;0;1;3;0;0;0;0;0;1;5;0;0.93;0.45;3
3795;affective;0;0;0;0;0;0;0;5;0;0;0;5;0;1.51;0.45;5
3796;fetus;0;0;0;0;0;0;0;5;0;0;0;5;0;1.51;0.45;5
3797;0.90;0;0;0;0;0;0;1;0;4;0;0;5;0;1.21;0.45;4
3798;organisational;0;0;0;1;0;0;2;0;2;0;0;5;0;0.82;0.45;2
3799;title;0;0;0;0;0;0;0;2;1;1;1;5;0;0.69;0.45;2
3800;subtheme;0;0;0;2;0;0;0;1;2;0;0;5;0;0.82;0.45;2
3801;psycinfo;0;0;0;2;1;1;0;0;0;1;0;5;0;0.69;0.45;2
3802;eps;0;0;0;4;1;0;0;0;0;0;0;5;0;1.21;0.45;4
3803;sias;0;0;0;0;0;0;0;0;5;0;0;5;0;1.51;0.45;5
3804;isds;0;0;0;0;5;0;0;0;0;0;0;5;0;1.51;0.45;5
3805;valuation;0;0;0;1;0;4;0;0;0;0;0;5;0;1.21;0.45;4
3806;gy;0;0;0;0;0;0;0;0;0;5;0;5;0;1.51;0.45;5
3807;benefactor;0;0;0;0;0;0;0;0;0;5;0;5;0;1.51;0.45;5
3808;harmonize;0;0;0;0;0;0;2;0;1;0;2;5;0;0.82;0.45;2
3809;adcfast;0;0;0;0;0;0;5;0;0;0;0;5;0;1.51;0.45;5
3810;scholarship;0;0;0;4;0;0;0;0;1;0;0;5;0;1.21;0.45;4
3811;sd;0;0;0;2;0;0;0;0;1;2;0;5;0;0.82;0.45;2
3812;invoke;0;0;0;0;1;1;1;0;1;1;0;5;0;0.52;0.45;1
3813;adjusted;0;0;0;0;0;0;0;2;2;1;0;5;0;0.82;0.45;2
3814;12.3;0;0;1;1;0;1;0;0;1;1;0;5;0;0.52;0.45;1
3815;adcslow;0;0;0;0;0;0;5;0;0;0;0;5;0;1.51;0.45;5
3816;nadu;0;0;0;1;3;0;0;0;0;0;1;5;0;0.93;0.45;3
3817;tamil;0;0;0;1;3;0;0;0;0;0;1;5;0;0.93;0.45;3
3818;microcirculatory;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
3819;owe;0;0;0;0;0;0;0;2;2;1;0;5;0;0.82;0.45;2
3820;son;0;0;0;0;0;0;0;1;1;3;0;5;0;0.93;0.45;3
3821;bhd;0;0;0;0;0;0;0;0;5;0;0;5;0;1.51;0.45;5
3822;durable;0;0;0;1;1;0;0;0;2;0;1;5;0;0.69;0.45;2
3823;compassionate;0;0;0;1;0;0;0;1;1;2;0;5;0;0.69;0.45;2
3824;simulate;0;0;0;0;1;0;1;0;2;1;0;5;0;0.69;0.45;2
3825;singapore;0;0;2;0;0;2;0;0;0;1;0;5;0;0.82;0.45;2
3826;precedent;0;0;0;1;0;1;0;2;0;1;0;5;0;0.69;0.45;2
3827;qualification;0;0;0;0;0;1;1;1;0;0;2;5;0;0.69;0.45;2
3828;stephen;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
3829;lawyer;0;0;0;2;1;0;1;0;0;0;1;5;0;0.69;0.45;2
3830;literary;0;0;0;0;0;0;1;0;1;0;3;5;0;0.93;0.45;3
3831;maturity;0;0;0;3;0;0;2;0;0;0;0;5;0;1.04;0.45;3
3832;prosecution;0;0;0;0;0;1;3;0;0;1;0;5;0;0.93;0.45;3
3833;adipose;0;0;0;0;5;0;0;0;0;0;0;5;0;1.51;0.45;5
3834;mscs;0;4;0;0;0;0;0;0;0;0;1;5;0;1.21;0.45;4
3835;bold;0;0;0;0;0;0;4;0;0;0;1;5;0;1.21;0.45;4
3836;deprive;0;0;3;1;1;0;0;0;0;0;0;5;0;0.93;0.45;3
3837;st;0;0;0;0;0;0;0;0;0;0;5;5;0;1.51;0.45;5
3838;concerned;0;0;0;1;0;0;0;2;0;0;2;5;0;0.82;0.45;2
3839;submission;0;0;0;0;1;0;0;2;0;1;1;5;0;0.69;0.45;2
3840;rec;0;0;0;0;1;0;0;1;1;0;2;5;0;0.69;0.45;2
3841;orient;0;1;0;1;0;1;0;1;1;0;0;5;0;0.52;0.45;1
3842;amend;0;1;0;0;0;1;0;0;1;0;2;5;0;0.69;0.45;2
3843;addiction;0;0;0;1;0;0;1;2;1;0;0;5;0;0.69;0.45;2
3844;tec;0;0;0;0;5;0;0;0;0;0;0;5;0;1.51;0.45;5
3845;infrequent;0;1;0;0;0;1;1;0;1;0;1;5;0;0.52;0.45;1
3846;modeling;0;0;0;1;0;2;0;2;0;0;0;5;0;0.82;0.45;2
3847;anatomic;0;0;0;0;0;0;0;2;1;0;2;5;0;0.82;0.45;2
3848;publicize;0;0;1;0;0;1;0;2;1;0;0;5;0;0.69;0.45;2
3849;consortium;0;0;0;0;0;3;1;0;0;1;0;5;0;0.93;0.45;3
3850;gunshot;0;0;0;0;1;0;0;0;0;4;0;5;0;1.21;0.45;4
3851;dependency;0;0;0;1;0;0;0;0;1;1;2;5;0;0.69;0.45;2
3852;d-/r-;0;0;0;0;0;0;0;0;5;0;0;5;0;1.51;0.45;5
3853;healthcore;0;0;0;0;0;0;5;0;0;0;0;5;0;1.51;0.45;5
